yreal,yimag,loss
-2.522331,1.095603,4.8070374
0.802026,2.630447,5.973711
2.297395,-0.98589,3.7107217
0.25192,-2.235852,1.8590995
-1.634528,0.625154,1.4688797
1.75,0.0,0.19698991
-1.752613,-0.963507,1.7482675
-1.896895,-1.628431,3.2421079
2.0,0.0,0.7518252
-2.487173,0.252921,3.4973903
2.052005,-1.830785,5.514812
-0.675306,1.339389,0.4498323
2.866718,0.884266,8.676762
1.119428,-1.345132,1.0222962
0.189285,1.235585,0.05047627
1.071654,1.688656,2.8267756
-2.5,0.0,3.4114985
0.574533,-0.482091,0.061403103
2.487173,0.252921,4.0002875
-0.375,0.649519,1.1253324
-0.681471,2.664225,5.880053
-0.425779,-0.904827,0.07305217
-1.859553,-0.736249,1.780355
-2.966492,0.447127,5.554798
-1.242764,0.839962,0.90143645
0.618034,-1.902113,1.449768
-0.436377,2.715157,6.040214
-0.202254,-0.146946,1.6908648
-0.063311,1.248396,0.18748802
1.675801,0.504173,0.46379447
-0.25,0.433013,0.7340215
1.870469,2.345494,7.904861
-1.018253,-1.423257,0.6876589
-2.297395,-0.98589,3.1935759
-1.274848,-1.541026,1.5071952
0.667563,2.924784,7.080373
-2.611509,-0.861696,4.1640806
0.189285,-1.235585,0.14154533
-0.22419,-2.991611,5.156607
-1.783601,-2.093148,4.297308
-0.809017,0.587785,0.59304696
1.5,2.598076,7.539936
-2.193588,-0.500672,2.4158797
-0.681471,-2.664225,4.736325
0.851559,-1.809654,1.3887392
-2.235852,0.25192,2.7054045
-0.374763,-1.964575,2.6452417
1.414316,-0.49971,0.12621716
-2.235852,-0.25192,2.4872496
-2.051909,-1.428171,3.205912
-2.487173,-0.252921,3.2978823
1.59099,1.59099,3.336643
2.702907,1.301651,8.823662
1.937166,0.49738,1.3433788
0.661205,1.060805,0.12796858
-0.187381,-0.982287,0.3127039
-0.765132,-0.98847,0.08723436
-1.192674,-0.374204,0.78965497
-1.32241,2.121611,4.4378777
1.071654,-1.688656,1.632094
-2.123737,-0.743128,2.4002783
-0.800174,-1.556349,1.2963285
-1.192674,0.374204,0.8670117
-2.724386,0.374458,4.444526
-1.274848,1.541026,2.0864134
-1.402852,-1.759121,2.5898807
0.868263,-2.34438,2.1878476
2.478716,1.68996,8.861441
0.25,-0.433013,1.2010696
-1.618034,1.175571,2.190543
-1.242764,-0.839962,0.45825186
2.469851,-1.20927,6.3199463
-0.436377,-2.715157,4.3212547
2.051909,1.428171,4.0015283
0.743128,-2.123737,1.460788
-0.25,-0.433013,0.80540866
